순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2803597,15-2806642,16-2804030,17-2800279,18-2804029,19-2800282,20-2800284,21-2800285,22-2803933,23-2800287,24-2800288,25-2804793,26-2800291,27-2800296,28-2800298,29-2805077,30-2800301,31-2804454,32-2800294,33-2806305,34-2804529,35-2804057,36-2803938,37-2804530,38-2804532,39-2803935,40-2804070
1-2800269,0,0.419283,0.773767,1.3496549999999998,1.7318779999999998,1.965875,2.139857,2.3998,2.753507,3.325432,3.528497,3.7989290000000002,4.073614,4.760788,5.661112,5.821381,6.3746529999999995,7.079675999999999,7.510594,8.338006,8.790267,9.668077,10.989382,11.423039,11.845895,12.358194000000001,12.907849,13.140389,13.831582000000001,14.418685,14.892911999999999,15.348314000000002,15.066914,14.697510999999999,15.412739000000002,15.937185999999999,16.465751,16.867556,16.409789,16.442135999999998
2-2805488,,0,0.354484,0.930372,1.3125950000000002,1.546592,1.7205740000000003,1.9805169999999999,2.334225,2.906149,3.109214,3.3796459999999997,3.6543309999999996,4.341506,5.241829,5.402099,5.955369999999999,6.660392999999999,7.091311,7.918723,8.370984,9.248794,10.569099000000001,11.002756,11.427612,11.940911999999999,12.488566,12.722106,13.414299,13.999403,14.474629,14.928030999999999,15.079164000000002,14.709760999999999,15.424989000000002,15.949437,16.478001000000003,16.879807,15.990506,16.023853
3-2807373,,,0,0.575888,0.958111,1.192108,1.36609,1.626034,1.979741,2.5516650000000003,2.75473,3.025162,3.299847,3.987022,4.887345,5.047615,5.600886,6.305909,6.736827000000001,7.564239,8.0165,8.89431,10.214615,10.647272000000001,11.073128,11.586428,12.133083000000001,12.366622,13.057815,13.645919000000001,14.120145,14.574547,14.724681,14.355278,15.070504999999999,15.594953,16.123518,16.525323,15.637022,15.669369
4-2800272,,,,0,0.382223,0.61622,0.7902020000000001,1.050145,1.403853,1.9757770000000001,2.178842,2.449274,2.723959,3.4111339999999997,4.311457,4.471727,5.024998,5.730021,6.160939,6.988351,7.440612,8.318422,9.639727,10.072384,10.49624,11.00954,11.557195,11.790734,12.482927,13.070031,13.544257,13.997659,14.377569,14.008166000000001,14.723394,15.247841000000001,15.776406,16.014789999999998,15.060134,15.093481
5-2803582,,,,,0,0.23399699999999998,0.407979,0.6679229999999999,1.0256299999999998,1.5975540000000001,1.800619,2.0710509999999998,2.345736,3.032911,3.9332339999999997,4.093504,4.646775,5.3517980000000005,5.782716000000001,6.610128,7.062389,7.940199000000001,9.260504,9.694161,10.118017,10.631317,11.178972,11.412511,12.104704,12.690808,13.166034,13.619435999999999,14.035570000000002,13.666167000000002,14.381394,14.905842000000002,15.434407,15.637567,14.681911,14.715257999999999
6-2803603,,,,,,0,0.173982,0.433925,0.791633,1.363557,1.566622,1.8370540000000002,2.111739,2.798914,3.699237,3.859507,4.412778,5.117801,5.548719,6.376131,6.828392,7.706202,9.026507,9.461164,9.885019999999999,10.39832,10.945974,11.177514,11.871707,12.457811,12.932037,13.384439000000002,13.801572,13.431169,14.146397,14.671845000000001,15.19941,15.403570000000002,14.448914000000002,14.481260999999998
7-2803602,,,,,,,0,0.259944,0.6176510000000001,1.189576,1.392641,1.663073,1.937758,2.624932,3.5252550000000005,3.685525,4.238797,4.94382,5.374738,6.20215,6.654411,7.532221000000001,8.852526,9.287183,9.710039,10.224338000000001,10.770992999999999,11.005533,11.697725,12.283828999999999,12.757055000000001,13.211457999999999,13.626591000000001,13.258188,13.972416,14.496863000000001,15.027428,15.228588,14.274932999999999,14.308279999999998
8-2800274,,,,,,,,0,0.35770799999999997,0.929632,1.1326969999999998,1.403129,1.677814,2.364989,3.2653119999999998,3.425582,3.978853,4.683876000000001,5.114794,5.942206,6.394467,7.272277000000001,8.592582,9.027239,9.451095,9.964395,10.511049,10.744589,11.435782000000001,12.021886,12.499112,12.951514,13.368647,12.997244,13.714472,14.238920000000002,14.766484,14.970645000000001,14.013989000000002,14.048335999999999
9-2803847,,,,,,,,,0,0.576925,0.77999,1.050422,1.325107,2.012281,2.912605,3.072874,3.626146,4.331169,4.762087,5.589499,6.04176,6.919569999999999,8.239875,8.672532,9.097388,9.610686999999999,10.158342,10.391882,11.084075,11.670178,12.145405,12.598807,13.01494,12.645537,13.360764999999999,13.885212,14.413777,14.616937,13.661282,13.694629
10-2803599,,,,,,,,,,0,0.203065,0.473498,0.748182,1.446357,2.34668,2.50695,3.060222,3.765244,4.196162999999999,5.023574,5.475835,6.353644999999999,7.67395,8.106607,8.530463000000001,9.043763,9.591417999999999,9.824958,10.51715,11.103254,11.57848,12.031883,12.448016,12.078613,12.793841,13.318288,13.846853,14.050013,13.094358,13.127704999999999
11-2804712,,,,,,,,,,,0,0.270432,0.545117,1.243292,2.143615,2.3038849999999997,2.8571560000000003,3.562179,3.993097,4.8205089999999995,5.2727699999999995,6.150580000000001,7.471885,7.904542,8.329398,8.842698,9.388353,9.623892,10.316085000000001,10.902189,11.377415,11.830817,12.24695,11.875548,12.592775,13.115223,13.645788,13.846948000000001,12.893292,12.924638999999999
12-2800276,,,,,,,,,,,,0,0.274685,0.9728600000000001,1.8731830000000003,2.0334529999999997,2.5867240000000002,3.291747,3.722665,4.550077,5.002338,5.880148,7.201453,7.634110000000001,8.058966,8.572266,9.11992,9.35246,10.045653,10.631757,11.106983,11.560385,11.976517999999999,11.606114999999999,12.322343,12.846791,13.374356,13.578516,12.62186,12.656207
13-2800277,,,,,,,,,,,,,0,0.698175,1.598498,1.758768,2.312039,3.0170619999999997,3.4479800000000003,4.275392,4.727653,5.605462999999999,6.925768,7.359425,7.783281,8.296581,8.844235000000001,9.077775,9.769967999999999,10.356072,10.831298,11.2847,11.699833,11.331430000000001,12.046658,12.570106,13.099671,13.302831,12.347175,12.380522000000001
14-2803597,,,,,,,,,,,,,,0,0.900323,1.0605930000000001,1.6138649999999999,2.3188880000000003,2.749806,3.5772180000000002,4.029478,4.907289,6.228594,6.661250999999999,7.085107000000001,7.598406,8.146061,8.379601,9.071793,9.657897,10.133123,10.586526,11.002659,10.633256,11.348484,11.872931,12.401496,12.604656,11.649001,11.682348
