순번_정류장ID,17-2805383,18-2805381,19-2805379,20-2805377,21-2805375,22-2806790,23-2805387,24-2800921,25-2805386,26-2800916,27-2800913,28-2805297,29-2800872,30-2800888,31-2800889,32-2800871,33-2805296,34-2805295
17-2805383,0,0.211531,0.652524,0.84387,1.053755,1.808633,2.435139,2.744694,2.98582,3.817647,4.574722,4.8834740000000005,5.1828840000000005,5.806764,6.081017,6.397147,7.420577,7.740238
18-2805381,,0,0.440993,0.632339,0.842224,1.597102,2.223608,2.533163,2.774289,3.606116,4.3631910000000005,4.671943000000001,4.971353000000001,5.595233,5.869486,6.1856160000000004,7.209046000000001,7.528707000000001
19-2805379,,,0,0.19134600000000002,0.401231,1.1561089999999998,1.7826149999999998,2.09217,2.333296,3.165123,3.922198,4.23095,4.53036,5.15424,5.428493,5.744623,6.768053,7.087714
20-2805377,,,,0,0.209885,0.9647629999999999,1.591269,1.900824,2.14195,2.973777,3.730852,4.039604,4.339014,4.9628939999999995,5.237146999999999,5.553277,6.576706999999999,6.896367999999999
21-2805375,,,,,0,0.7548779999999999,1.381384,1.690939,1.932065,2.7638920000000002,3.520967,3.8297190000000003,4.129129000000001,4.7530090000000005,5.027262,5.343392000000001,6.366822000000001,6.686483000000001
22-2806790,,,,,,0,0.626506,0.936061,1.177187,2.009014,2.766089,3.074841,3.374251,3.998131,4.272384,4.588514,5.611943999999999,5.931604999999999
23-2805387,,,,,,,0,0.309555,0.5506810000000001,1.382508,2.139583,2.448335,2.747745,3.371625,3.6458779999999997,3.962008,4.985438,5.305099
24-2800921,,,,,,,,0,0.24112600000000003,1.072953,1.830028,2.13878,2.43819,3.0620700000000003,3.336323,3.6524530000000004,4.675883000000001,4.995544000000001
25-2805386,,,,,,,,,0,0.8318270000000001,1.588902,1.897654,2.197064,2.820944,3.0951969999999998,3.411327,4.434756999999999,4.754417999999999
26-2800916,,,,,,,,,,0,0.757075,1.065827,1.365237,1.989117,2.26337,2.5795000000000003,3.60293,3.922591
27-2800913,,,,,,,,,,,0,0.30875199999999997,0.608162,1.2320419999999999,1.506295,1.822425,2.845855,3.1655159999999998
28-2805297,,,,,,,,,,,,0,0.29941,0.9232899999999999,1.197543,1.513673,2.537103,2.856764
29-2800872,,,,,,,,,,,,,0,0.62388,0.8981330000000001,1.214263,2.237693,2.557354
30-2800888,,,,,,,,,,,,,,0,0.274253,0.5903830000000001,1.613813,1.933474
31-2800889,,,,,,,,,,,,,,,0,0.31613,1.3395599999999999,1.6592209999999998
32-2800871,,,,,,,,,,,,,,,,0,1.0234299999999998,1.3430909999999998
33-2805296,,,,,,,,,,,,,,,,,0,0.31966100000000003
34-2805295,,,,,,,,,,,,,,,,,,0
