순번_정류장ID,1-2805030,2-2803527,3-2806022,4-2805205,5-2802589,6-2802565,7-2803502,8-2807466,9-2803415,10-2805157,11-2805161,12-2805163,13-2805165,14-2803483
1-2805030,0,1.1589040000000002,1.9994880000000002,3.136303,6.6676400000000005,29.188007,34.141027,40.035766,42.206994,43.543376,44.753186,45.16464,48.570195999999996,52.206540999999994
2-2803527,,0,0.840584,1.977399,5.508736,28.029103,32.982123,38.876862,41.04809,42.384472,43.594282,44.005736,47.411291999999996,51.047636999999995
3-2806022,,,0,1.136815,4.668152,27.188519,32.141539,38.036278,40.207506,41.543888,42.753698,43.165152,46.570707999999996,50.207052999999995
4-2805205,,,,0,3.531337,26.051704,31.004724,36.899463,39.070691,40.407073,41.616882999999994,42.02833699999999,45.43389299999999,49.07023799999999
5-2802589,,,,,0,22.520367,27.473387,33.368126,35.539353999999996,36.875735999999996,38.085545999999994,38.49699999999999,41.90255599999999,45.53890099999999
6-2802565,,,,,,0,4.9530199999999995,10.847759,13.018987,14.355369,15.565179,15.976633,19.382189,23.018534
7-2803502,,,,,,,0,5.8947389999999995,8.065966999999999,9.402349,10.612158999999998,11.023612999999997,14.429168999999998,18.065513999999997
8-2807466,,,,,,,,0,2.1712279999999997,3.5076099999999997,4.71742,5.128874,8.53443,12.170774999999999
9-2803415,,,,,,,,,0,1.336382,2.546192,2.957646,6.363201999999999,9.999547
10-2805157,,,,,,,,,,0,1.20981,1.621264,5.02682,8.663165
11-2805161,,,,,,,,,,,0,0.411454,3.81701,7.453354999999999
12-2805163,,,,,,,,,,,,0,3.405556,7.041900999999999
13-2805165,,,,,,,,,,,,,0,3.6363449999999995
14-2803483,,,,,,,,,,,,,,0
