순번_정류장ID,20-2801191,21-2801573,22-2801558,23-2801545,24-2801503,25-2801479,26-2801466,27-2801442,28-2801436,29-2801448,30-2801486,31-2801519,32-2801571
20-2801191,0,0.398335,0.609182,0.771618,1.080796,1.3225660000000001,1.5354580000000002,1.7580770000000001,2.007134,2.30986,2.617226,2.899461,3.061422
21-2801573,,0,0.21084699999999998,0.373283,0.682461,0.924231,1.137123,1.3597420000000002,1.6087990000000003,1.9115250000000004,2.218891,2.501126,2.663087
22-2801558,,,0,0.162436,0.471614,0.713384,0.926276,1.148895,1.397952,1.7006780000000001,2.008044,2.290279,2.4522399999999998
23-2801545,,,,0,0.309178,0.550948,0.76384,0.986459,1.235516,1.538242,1.8456080000000001,2.1278430000000004,2.289804
24-2801503,,,,,0,0.24176999999999998,0.454662,0.677281,0.9263380000000001,1.2290640000000002,1.5364300000000002,1.8186650000000002,1.9806260000000002
25-2801479,,,,,,0,0.212892,0.435511,0.6845680000000001,0.9872940000000001,1.2946600000000001,1.5768950000000002,1.7388560000000002
26-2801466,,,,,,,0,0.222619,0.47167600000000004,0.774402,1.081768,1.364003,1.525964
27-2801442,,,,,,,,0,0.24905700000000003,0.551783,0.8591489999999999,1.141384,1.303345
28-2801436,,,,,,,,,0,0.302726,0.610092,0.892327,1.054288
29-2801448,,,,,,,,,,0,0.307366,0.589601,0.7515620000000001
30-2801486,,,,,,,,,,,0,0.282235,0.44419600000000004
31-2801519,,,,,,,,,,,,0,0.161961
32-2801571,,,,,,,,,,,,,0
