순번_정류장ID,1-2805694,2-2805636,3-2806053,4-2806032,5-2806025,6-2805697,7-2805699,8-2805701,9-2807440,10-2806806,11-2805704,12-2807625,13-2807549,14-2806228
1-2805694,0,0.368804,0.672682,1.022788,1.2205030000000001,2.127959,2.3379920000000003,2.535667,2.749021,3.194478,3.450323,21.212583000000002,35.376256000000005,49.60596700000001
2-2805636,,0,0.30387800000000004,0.653984,0.851699,1.7591549999999998,1.9691879999999997,2.1668629999999998,2.3802169999999996,2.8256739999999994,3.0815189999999992,20.843779,35.007452,49.237162999999995
3-2806053,,,0,0.350106,0.547821,1.455277,1.6653099999999998,1.862985,2.076339,2.521796,2.777641,20.539901,34.703574,48.933285
4-2806032,,,,0,0.197715,1.105171,1.3152039999999998,1.5128789999999999,1.726233,2.17169,2.4275349999999998,20.189795,34.353468,48.583179
5-2806025,,,,,0,0.9074559999999999,1.117489,1.315164,1.528518,1.973975,2.22982,19.99208,34.155753000000004,48.385464
6-2805697,,,,,,0,0.210033,0.40770799999999996,0.621062,1.066519,1.3223639999999999,19.084624,33.248297,47.478008
7-2805699,,,,,,,0,0.197675,0.411029,0.856486,1.112331,18.874591000000002,33.038264000000005,47.26797500000001
8-2805701,,,,,,,,0,0.213354,0.658811,0.914656,18.676916000000002,32.840589,47.0703
9-2807440,,,,,,,,,0,0.445457,0.701302,18.463562,32.627235,46.85694599999999
10-2806806,,,,,,,,,,0,0.255845,18.018105000000002,32.181778,46.411489
11-2805704,,,,,,,,,,,0,17.76226,31.925933,46.155643999999995
12-2807625,,,,,,,,,,,,0,14.163673000000001,28.393383999999998
13-2807549,,,,,,,,,,,,,0,14.229710999999998
14-2806228,,,,,,,,,,,,,,0
