순번_정류장ID,1-2801920,2-2801928,3-2801931,4-2801949,5-2801960,6-2801974,7-2801964,8-2801953,9-2801952,10-2801788
1-2801920,0,0.13860799999999998,0.588139,0.807804,1.114479,1.4714559999999999,2.013683,2.3755029999999997,3.1001,3.8941529999999998
2-2801928,,0,0.449531,0.669196,0.9758709999999999,1.3328479999999998,1.8750749999999998,2.2368949999999996,2.961492,3.7555449999999997
3-2801931,,,0,0.219665,0.52634,0.883317,1.425544,1.787364,2.511961,3.306014
4-2801949,,,,0,0.306675,0.6636519999999999,1.205879,1.567699,2.292296,3.086349
5-2801960,,,,,0,0.356977,0.899204,1.261024,1.985621,2.779674
6-2801974,,,,,,0,0.542227,0.904047,1.628644,2.422697
7-2801964,,,,,,,0,0.36182,1.086417,1.8804699999999999
8-2801953,,,,,,,,0,0.724597,1.51865
9-2801952,,,,,,,,,0,0.794053
10-2801788,,,,,,,,,,0
