순번_정류장ID,1-2800966,2-2800988,3-2800999,4-2801020,5-2801036,6-2801052,7-2801073,8-2800857,9-2801090,10-2800884,11-2800883,12-2800881,13-2801085,14-2801100,15-2801108,16-2800852,17-2800845,18-2800854,19-2800833,20-2801103,21-2801113,22-2801116,23-2801121,24-2801130,25-2801134,26-2801143,27-2801144
1-2800966,0,0.570504,0.7559830000000001,1.091047,1.3543150000000002,1.8412170000000003,2.5657890000000005,2.8048020000000005,3.2164590000000004,3.5008640000000004,3.7073440000000004,3.8605740000000006,4.062430000000001,4.267117000000001,4.336546000000001,4.585468000000001,4.757128000000002,5.1128040000000015,5.462460000000002,5.680326000000002,5.992675000000002,6.166838000000002,6.540474000000002,6.964433000000002,7.231789000000003,7.648298000000002,7.718179000000002
2-2800988,,0,0.185479,0.520543,0.783811,1.2707130000000002,1.9952850000000002,2.2342980000000003,2.6459550000000003,2.9303600000000003,3.1368400000000003,3.2900700000000005,3.4919260000000003,3.696613,3.766042,4.014964,4.186624,4.5423,4.891956,5.109822,5.4221710000000005,5.596334000000001,5.969970000000001,6.393929000000001,6.661285000000001,7.077794000000001,7.1476750000000004
3-2800999,,,0,0.335064,0.598332,1.085234,1.809806,2.048819,2.460476,2.744881,2.951361,3.104591,3.306447,3.5111339999999998,3.5805629999999997,3.8294849999999996,4.001144999999999,4.356820999999999,4.706477,4.9243429999999995,5.236692,5.410855,5.784491,6.20845,6.475806,6.892315,6.962196
4-2801020,,,,0,0.263268,0.75017,1.474742,1.713755,2.125412,2.409817,2.616297,2.769527,2.971383,3.1760699999999997,3.2454989999999997,3.4944209999999996,3.6660809999999997,4.021757,4.371413,4.589279,4.9016280000000005,5.075791000000001,5.449427000000001,5.873386000000001,6.140742000000001,6.557251000000001,6.6271320000000005
5-2801036,,,,,0,0.48690200000000006,1.211474,1.4504869999999999,1.8621439999999998,2.146549,2.353029,2.506259,2.708115,2.9128019999999997,2.9822309999999996,3.2311529999999995,3.4028129999999996,3.7584889999999995,4.1081449999999995,4.326010999999999,4.63836,4.812523,5.186159,5.610118,5.877474,6.293983000000001,6.363864
6-2801052,,,,,,0,0.724572,0.963585,1.375242,1.659647,1.866127,2.0193570000000003,2.221213,2.4259,2.495329,2.7442509999999998,2.915911,3.271587,3.6212429999999998,3.8391089999999997,4.151458,4.325621,4.699257,5.123216,5.390572000000001,5.807081,5.876962
7-2801073,,,,,,,0,0.239013,0.65067,0.935075,1.141555,1.294785,1.496641,1.7013280000000002,1.7707570000000001,2.019679,2.191339,2.547015,2.896671,3.114537,3.4268859999999997,3.6010489999999997,3.9746849999999996,4.398644,4.666,5.082509,5.15239
8-2800857,,,,,,,,0,0.411657,0.696062,0.902542,1.055772,1.257628,1.462315,1.531744,1.780666,1.952326,2.308002,2.657658,2.875524,3.1878729999999997,3.362036,3.7356719999999997,4.159631,4.4269870000000004,4.843496,4.913377
9-2801090,,,,,,,,,0,0.284405,0.490885,0.644115,0.845971,1.050658,1.120087,1.3690090000000001,1.540669,1.8963450000000002,2.246001,2.463867,2.776216,2.950379,3.3240149999999997,3.7479739999999997,4.01533,4.431839,4.50172
10-2800884,,,,,,,,,,0,0.20648000000000002,0.35971000000000003,0.561566,0.766253,0.8356819999999999,1.084604,1.2562639999999998,1.61194,1.961596,2.179462,2.491811,2.6659740000000003,3.03961,3.463569,3.730925,4.1474340000000005,4.217315
11-2800883,,,,,,,,,,,0,0.15323,0.355086,0.559773,0.6292019999999999,0.8781239999999999,1.0497839999999998,1.40546,1.755116,1.9729819999999998,2.285331,2.459494,2.8331299999999997,3.2570889999999997,3.5244449999999996,3.9409539999999996,4.010834999999999
12-2800881,,,,,,,,,,,,0,0.201856,0.406543,0.47597199999999995,0.7248939999999999,0.8965539999999999,1.25223,1.601886,1.8197519999999998,2.1321009999999996,2.3062639999999996,2.6798999999999995,3.1038589999999995,3.3712149999999994,3.7877239999999994,3.8576049999999995
13-2801085,,,,,,,,,,,,,0,0.20468699999999998,0.27411599999999997,0.5230379999999999,0.6946979999999998,1.050374,1.4000299999999999,1.6178959999999998,1.9302449999999998,2.104408,2.4780439999999997,2.9020029999999997,3.1693589999999996,3.5858679999999996,3.6557489999999997
