순번_정류장ID,1-2805705,2-2805970,3-2803298,4-2803190,5-2806539,6-2805457,7-2805458,8-2805183,9-2805459,10-2806489,11-2805460,12-2805184,13-2805185,14-2807473,15-2807475,16-2807477,17-2806541,18-2806543,19-2806627
1-2805705,0,1.866134,2.197344,2.9912660000000004,5.291073000000001,5.6771210000000005,6.329238,6.6798530000000005,7.090696,7.466620000000001,8.056544,9.123105,9.527929,10.266447,10.730374999999999,11.139675999999998,11.977952999999998,12.983726999999998,13.134719999999998
2-2805970,,0,0.33121,1.125132,3.424939,3.8109870000000003,4.463104,4.813719000000001,5.224562000000001,5.600486000000001,6.190410000000001,7.256971000000001,7.661795000000001,8.400313,8.864241,9.273541999999999,10.111818999999999,11.117593,11.268585999999999
3-2803298,,,0,0.793922,3.0937289999999997,3.479777,4.131894,4.482509,4.893352,5.2692760000000005,5.8592,6.9257610000000005,7.330585,8.069103,8.533031,8.942331999999999,9.780608999999998,10.786382999999999,10.937375999999999
4-2803190,,,,0,2.299807,2.685855,3.337972,3.688587,4.09943,4.475354,5.065278,6.131839,6.536663,7.275181,7.739109,8.14841,8.986687,9.992461,10.143454
5-2806539,,,,,0,0.386048,1.038165,1.3887800000000001,1.7996230000000002,2.1755470000000003,2.7654710000000002,3.8320320000000003,4.236856,4.975374,5.4393020000000005,5.848603000000001,6.68688,7.692654,7.843647
6-2805457,,,,,,0,0.6521170000000001,1.002732,1.413575,1.789499,2.379423,3.445984,3.8508080000000002,4.589326,5.053254,5.462555,6.300832,7.3066059999999995,7.457598999999999
7-2805458,,,,,,,0,0.350615,0.761458,1.137382,1.727306,2.793867,3.198691,3.937209,4.401137,4.810438,5.648715,6.654489,6.805482
8-2805183,,,,,,,,0,0.410843,0.786767,1.376691,2.443252,2.8480760000000003,3.5865940000000003,4.050522,4.459823,5.2981,6.3038739999999995,6.454866999999999
9-2805459,,,,,,,,,0,0.375924,0.965848,2.0324090000000004,2.4372330000000004,3.1757510000000004,3.6396790000000006,4.04898,4.887257,5.893031,6.044023999999999
10-2806489,,,,,,,,,,0,0.589924,1.656485,2.061309,2.799827,3.263755,3.6730560000000003,4.5113330000000005,5.517107,5.6681
11-2805460,,,,,,,,,,,0,1.066561,1.4713850000000002,2.209903,2.6738310000000003,3.0831320000000004,3.9214090000000006,4.927183,5.078176
12-2805184,,,,,,,,,,,,0,0.40482399999999996,1.143342,1.60727,2.016571,2.854848,3.860622,4.011615
13-2805185,,,,,,,,,,,,,0,0.738518,1.202446,1.6117469999999998,2.450024,3.4557979999999997,3.606791
14-2807473,,,,,,,,,,,,,,0,0.46392799999999995,0.873229,1.711506,2.7172799999999997,2.868273
15-2807475,,,,,,,,,,,,,,,0,0.409301,1.247578,2.253352,2.404345
16-2807477,,,,,,,,,,,,,,,,0,0.838277,1.8440509999999999,1.9950439999999998
17-2806541,,,,,,,,,,,,,,,,,0,1.005774,1.1567669999999999
18-2806543,,,,,,,,,,,,,,,,,,0,0.15099300000000002
19-2806627,,,,,,,,,,,,,,,,,,,0
