순번_정류장ID,1-2805540,2-2805541,3-2805542,4-2805543,5-2807591,6-2807593,7-2807592,8-2805548,9-2807589,10-2807595,11-2807594,12-2805544,13-2807596,14-2807620,15-2803141,16-2807600
1-2805540,0,0.418679,1.795533,2.192839,3.0029500000000002,3.9857080000000003,4.384614,4.512774,6.766663,7.751264000000001,9.312543000000002,10.919921000000002,11.391876000000002,11.853186,11.957005,12.449975
2-2805541,,0,1.376854,1.77416,2.5842709999999998,3.567029,3.965935,4.094095,6.347984,7.332585,8.893864,10.501242000000001,10.973197,11.434507,11.538326,12.031296
3-2805542,,,0,0.397306,1.207417,2.190175,2.589081,2.717241,4.9711300000000005,5.955731,7.51701,9.124388,9.596343,10.057652999999998,10.161471999999998,10.654441999999998
4-2805543,,,,0,0.8101109999999999,1.792869,2.191775,2.3199349999999996,4.573824,5.558425,7.119704,8.727082,9.199036999999999,9.660346999999998,9.764165999999998,10.257135999999997
5-2807591,,,,,0,0.982758,1.381664,1.509824,3.763713,4.748314000000001,6.3095930000000005,7.916971,8.388926,8.850235999999999,8.954054999999999,9.447024999999998
6-2807593,,,,,,0,0.398906,0.527066,2.780955,3.765556,5.326835,6.934213,7.406168,7.867478,7.971297,8.464267
7-2807592,,,,,,,0,0.12816,2.382049,3.36665,4.927929,6.5353069999999995,7.007262,7.468572,7.572391,8.065361
8-2805548,,,,,,,,0,2.253889,3.23849,4.799769,6.407147,6.8791020000000005,7.340412000000001,7.444231,7.937201
9-2807589,,,,,,,,,0,0.9846010000000001,2.5458800000000004,4.153258,4.6252130000000005,5.086523000000001,5.190342,5.683312
10-2807595,,,,,,,,,,0,1.561279,3.168657,3.640612,4.101922,4.205741,4.698710999999999
11-2807594,,,,,,,,,,,0,1.607378,2.079333,2.540643,2.6444620000000003,3.1374320000000004
12-2805544,,,,,,,,,,,,0,0.471955,0.933265,1.0370840000000001,1.530054
13-2807596,,,,,,,,,,,,,0,0.46131000000000005,0.5651290000000001,1.0580990000000001
14-2807620,,,,,,,,,,,,,,0,0.10381900000000001,0.596789
15-2803141,,,,,,,,,,,,,,,0,0.49296999999999996
16-2807600,,,,,,,,,,,,,,,,0
