순번_정류장ID,14-2801731,15-2801219,16-2801221,17-2801699,18-2801222,19-2801682,20-2801668,21-2801225,22-2801635,23-2801645,24-2801652
14-2801731,0,0.231819,0.364697,0.490669,0.623723,1.1809850000000002,1.3567930000000001,1.5746390000000001,1.735583,1.8458,2.3509160000000002
15-2801219,,0,0.132878,0.25885,0.39190400000000003,0.9491660000000001,1.1249740000000001,1.3428200000000001,1.503764,1.613981,2.119097
16-2801221,,,0,0.125972,0.259026,0.816288,0.992096,1.209942,1.370886,1.481103,1.9862190000000002
17-2801699,,,,0,0.133054,0.690316,0.866124,1.08397,1.244914,1.355131,1.8602470000000002
18-2801222,,,,,0,0.557262,0.73307,0.950916,1.11186,1.222077,1.7271930000000002
19-2801682,,,,,,0,0.175808,0.393654,0.554598,0.664815,1.169931
20-2801668,,,,,,,0,0.217846,0.37879,0.489007,0.9941230000000001
21-2801225,,,,,,,,0,0.160944,0.271161,0.776277
22-2801635,,,,,,,,,0,0.11021700000000001,0.615333
23-2801645,,,,,,,,,,0,0.505116
24-2801652,,,,,,,,,,,0
