순번_정류장ID,23-2801576,24-2801533,25-2801518,26-2801490,27-2801458,28-2801434,29-2801399,30-2801370,31-2801341,32-2801316,33-2801291,34-2801272,35-2801263,36-2801257,37-2801255,38-2801250,39-2801248,40-2801246,41-2801245,42-2801244,43-2805070
23-2801576,0,0.13095199999999999,0.328335,0.651326,0.880799,1.161259,1.4505270000000001,1.70792,2.028966,2.333949,2.672529,2.833291,3.062567,4.514082,4.826626,5.100733,5.201402,5.3340939999999994,5.596134999999999,5.822531,6.495018999999999
24-2801533,,0,0.197383,0.520374,0.749847,1.030307,1.319575,1.576968,1.8980139999999999,2.202997,2.5415769999999998,2.702339,2.931615,4.3831299999999995,4.6956739999999995,4.969780999999999,5.070449999999999,5.203141999999999,5.465182999999999,5.691578999999999,6.364066999999999
25-2801518,,,0,0.322991,0.552464,0.832924,1.122192,1.379585,1.700631,2.005614,2.344194,2.504956,2.734232,4.185747,4.498291,4.772398,4.873067,5.005758999999999,5.267799999999999,5.494196,6.166684
26-2801490,,,,0,0.229473,0.509933,0.7992009999999999,1.056594,1.37764,1.682623,2.021203,2.181965,2.411241,3.862756,4.1753,4.449407,4.550076,4.682767999999999,4.944808999999999,5.171205,5.843693
27-2801458,,,,,0,0.28046,0.569728,0.827121,1.148167,1.45315,1.7917299999999998,1.952492,2.181768,3.6332829999999996,3.9458269999999995,4.219933999999999,4.320602999999999,4.453294999999999,4.715335999999999,4.941731999999999,5.6142199999999995
28-2801434,,,,,,0,0.28926799999999997,0.546661,0.867707,1.17269,1.5112700000000001,1.6720320000000002,1.9013080000000002,3.352823,3.665367,3.9394739999999997,4.040143,4.172834999999999,4.434875999999999,4.661271999999999,5.33376
29-2801399,,,,,,,0,0.257393,0.5784389999999999,0.8834219999999999,1.2220019999999998,1.3827639999999999,1.61204,3.063555,3.376099,3.650206,3.7508749999999997,3.8835669999999998,4.145607999999999,4.372004,5.044492
30-2801370,,,,,,,,0,0.321046,0.626029,0.9646089999999999,1.125371,1.354647,2.8061619999999996,3.1187059999999995,3.3928129999999994,3.4934819999999993,3.6261739999999993,3.8882149999999993,4.114610999999999,4.7870989999999995
31-2801341,,,,,,,,,0,0.304983,0.643563,0.804325,1.033601,2.4851159999999997,2.7976599999999996,3.0717669999999995,3.1724359999999994,3.3051279999999994,3.5671689999999994,3.793564999999999,4.466052999999999
32-2801316,,,,,,,,,,0,0.33858,0.49934199999999995,0.728618,2.1801329999999997,2.4926769999999996,2.7667839999999995,2.8674529999999994,3.0001449999999994,3.2621859999999994,3.488581999999999,4.161069999999999
33-2801291,,,,,,,,,,,0,0.160762,0.390038,1.8415529999999998,2.1540969999999997,2.4282039999999996,2.5288729999999995,2.6615649999999995,2.9236059999999995,3.1500019999999993,3.8224899999999993
34-2801272,,,,,,,,,,,,0,0.22927600000000004,1.680791,1.9933349999999999,2.267442,2.368111,2.500803,2.762844,2.9892399999999997,3.6617279999999996
35-2801263,,,,,,,,,,,,,0,1.4515149999999999,1.7640589999999998,2.038166,2.138835,2.271527,2.533568,2.7599639999999996,3.4324519999999996
36-2801257,,,,,,,,,,,,,,0,0.312544,0.586651,0.68732,0.8200120000000001,1.0820530000000002,1.3084490000000002,1.9809370000000002
37-2801255,,,,,,,,,,,,,,,0,0.274107,0.374776,0.507468,0.769509,0.995905,1.668393
38-2801250,,,,,,,,,,,,,,,,0,0.10066900000000001,0.233361,0.495402,0.721798,1.3942860000000001
39-2801248,,,,,,,,,,,,,,,,,0,0.132692,0.394733,0.621129,1.293617
40-2801246,,,,,,,,,,,,,,,,,,0,0.26204099999999997,0.488437,1.160925
41-2801245,,,,,,,,,,,,,,,,,,,0,0.22639600000000001,0.898884
42-2801244,,,,,,,,,,,,,,,,,,,,0,0.672488
43-2805070,,,,,,,,,,,,,,,,,,,,,0
